DisplayName,Description,MailNickName
ms-app-devs,Application Developers,ms-app-devs
ms-app-testers,Application Testers,ms-app-testers
ms-data-devs,Data Developers,ms-data-devs
ms-data-testers,Data Testers,ms-data-testers
ms-leads,Leads,ms-leads
ms-managers,Project Managers,ms-managers
ms-architects,Architects,ms-architects
ms-infra-devs,Infra Developers,ms-infra-devs
ms-cpd-admins,Azure Resource Admins,ms-cpd-admins
ms-cpd-all,Development Subscription All Users,ms-cpd-all
ms-cph-all,Hub Subscription All Users,ms-cph-all
ms-cph-admins,Hub Subscription Admins,ms-cph-admins
ms-cpp-all,Production Subscription All Users,ms-cpp-all
ms-cpp-readers,Production Subscription Readers,ms-cpp-readers