name,rg,type
apim-cpd-shrd-*-we-01,rg-cpd-shrd-*-we-01,Microsoft.ApiManagement/service
agw-cpd-apps-aks-*-we-01,rg-cpd-apps-aks-*-we-01,Microsoft.Network/applicationGateways
agw-cpd-apps-api-*-we-01,rg-cpd-apps-waf-*-we-01,Microsoft.Network/applicationGateways
agw-cpd-apps-bot-*-we-01,rg-cpd-apps-waf-*-we-01,Microsoft.Network/applicationGateways
agw-cpd-apps-ckm-*-we-01,rg-cpd-apps-waf-*-we-01,Microsoft.Network/applicationGateways
agw-cpd-apps-ntf-*-we-01,rg-cpd-apps-waf-*-we-01,Microsoft.Network/applicationGateways
agw-cpd-apps-web-*-we-01,rg-cpd-apps-waf-*-we-01,Microsoft.Network/applicationGateways
appcog-cpd-apps-arqna-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.Web/sites
app-cpd-apps-bot-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.Web/sites
appcog-cpd-apps-qna-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.Web/sites
cog-cpd-apps-cmstrsl-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.CognitiveServices/accounts
cog-cpd-apps-luisauth-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.CognitiveServices/accounts
cog-cpd-apps-luisrt-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.CognitiveServices/accounts
appcog-cpd-apps-arqna-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.CognitiveServices/accounts
appcog-cpd-apps-qna-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.CognitiveServices/accounts
cosmos-cpd-apps-str-*-we-01,rg-cpd-apps-str-*-we-01,Microsoft.DocumentDB/databaseAccounts
evhns-cpd-apps-mon-*-we-01,rg-cpd-apps-mon-*-we-01,Microsoft.EventHub/namespaces
evhns-cpd-shrd-mon-*-we-01,rg-cpd-shrd-mon-*-we-01,Microsoft.EventHub/namespaces
func-cpd-apps-intbpa-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Web/sites
func-cpd-apps-acm-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Web/sites
func-cpd-apps-prflint-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Web/sites
func-cpd-apps-intntf-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Web/sites
func-cpd-apps-pt-*-we-01,rg-cpd-apps-pt-*-we-01,Microsoft.Web/sites
func-cpd-apps-luistra-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.Web/sites
func-cpd-apps-qnasync-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.Web/sites
func-cpd-apps-rrf-*-we-01,rg-cpd-apps-pt-*-we-01,Microsoft.Web/sites
kv-cpd-apps-*-we-01,rg-cpd-apps-sec-*-we-01,Microsoft.KeyVault/vaults
kv-cpd-apps-pt-*-we-01,rg-cpd-apps-pt-*-we-01,Microsoft.KeyVault/vaults
kv-cpd-pltf-*-we-01,rg-cpd-pltf-sec-*-we-01,Microsoft.KeyVault/vaults
logic-cpd-apps-6dbill-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-6dhook-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-6dhook-*-we-02,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-apimt-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-dfndr-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-intacnt-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-intaprv1-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-intfile-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-intgbaprl-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-intsec-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-intsubs-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-inttrsl-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-mpsd365-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-mpso365-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-qnacopy-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-qnakbsync-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-secsync-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-mpsidx-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-route-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
logic-cpd-apps-6dhook-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.Logic/workflows
aks-cpd-apps-*-we-01,rg-cpd-apps-aks-*-we-01,Microsoft.ContainerService/managedClusters
rsv-cpd-pltf-*-we-01,rg-cpd-pltf-bckup-*-we-01,Microsoft.RecoveryServices/vaults
redis-cpd-apps-str-*-we-01,rg-cpd-apps-str-*-we-01,Microsoft.Cache/Redis
srch-cpd-apps-arcog-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.Search/searchServices
srch-cpd-apps-cog-*-we-01,rg-cpd-apps-cog-*-we-01,Microsoft.Search/searchServices
sb-cpd-apps-int-*-we-01,rg-cpd-apps-int-*-we-01,Microsoft.ServiceBus/namespaces
sb-cpd-apps-strntf-*-we-01,rg-cpd-apps-str-*-we-01,Microsoft.ServiceBus/namespaces
stcpdappsapimt*we01,rg-cpd-apps-str-*-we-01,Microsoft.Storage/storageAccounts
stcpdappsdiag*we01,rg-cpd-apps-mon-*-we-01,Microsoft.Storage/storageAccounts
stcpdappsstr*we01,rg-cpd-apps-str-*-we-01,Microsoft.Storage/storageAccounts
stcpdshrd*we01,rg-cpd-shrd-*-we-01,Microsoft.Storage/storageAccounts
stcpdshrddiag*we01,rg-cpd-shrd-mon-*-we-01,Microsoft.Storage/storageAccounts
jmpapps*we01,rg-cpd-pltf-testvms-*-we-01,Microsoft.Compute/virtualMachines
jmpappsdevwe02,rg-cpd-pltf-testvms-*-we-01,Microsoft.Compute/virtualMachines
testperfdevwe01,rg-cpd-apps-perftst-tst-we-01,Microsoft.Compute/virtualMachines
testperfdevwe02,rg-cpd-apps-perftst-tst-we-01,Microsoft.Compute/virtualMachines
testperfdevwe03,rg-cpd-apps-perftst-tst-we-01,Microsoft.Compute/virtualMachines
vnet-cpd-pltf-*-we-01,rg-cpd-pltf-net-*-we-01,Microsoft.Network/virtualNetworks